Feature,rho,p-val,alpha,Significant,Corrected p-val,Correction method
MORPHOLOGICAL_SurfaceArea(IBSI:C0JK)[mm2],0.8984495414367223,3.291454280191874e-33,0.05,True,3.39019790859763e-31,bonferroni
MORPHOLOGICAL_SurfaceToVolumeRatio(IBSI:2PR5)[mm],-0.8978019563824599,4.2918401774332584e-33,0.05,True,4.420595382756256e-31,bonferroni
MORPHOLOGICAL_Compactness1(IBSI:SKGS)[],0.1103883446342746,0.30031109001983425,0.05,False,1.0,bonferroni
MORPHOLOGICAL_Compactness2(IBSI:BQWJ)[],0.1103883446342746,0.30031109001983425,0.05,False,1.0,bonferroni
MORPHOLOGICAL_SphericalDisproportion(IBSI:KRCK)[],-0.1103883446342746,0.30031109001983425,0.05,False,1.0,bonferroni
MORPHOLOGICAL_Sphericity(IBSI:QCFX)[],0.1103883446342746,0.30031109001983425,0.05,False,1.0,bonferroni
MORPHOLOGICAL_Asphericity(IBSI:25C7)[],-0.1103883446342746,0.30031109001983425,0.05,False,1.0,bonferroni
MORPHOLOGICAL_CentreOfMassShift(IBSI:KLMA)[mm],0.0902060951792034,0.3978130697112199,0.05,False,1.0,bonferroni
MORPHOLOGICAL_Maximum3DDiameter(IBSI:L0JK)[mm],0.8775916214347115,7.689257564505762e-30,0.05,True,7.919935291440936e-28,bonferroni
MORPHOLOGICAL_IntegratedIntensity(IBSI:99N0)[Intensity],0.9238622049299279,1.803436296849815e-38,0.05,True,1.8575393857553094e-36,bonferroni
INTENSITY-BASED_MeanIntensity(IBSI:Q4LE)[HU],-0.2442699375093707,0.020328916796720515,0.05,False,1.0,bonferroni
INTENSITY-BASED_IntensityVariance(IBSI:ECT3)[HU],0.4144304957513617,4.88932276373945e-05,0.05,True,0.005036002446651634,bonferroni
INTENSITY-BASED_IntensitySkewness(IBSI:KE2A)[HU],-0.027960499852998436,0.7936299586622009,0.05,False,1.0,bonferroni
INTENSITY-BASED_IntensityKurtosis(IBSI:IPH6)[HU],0.14149732554230282,0.18341897885159328,0.05,False,1.0,bonferroni
INTENSITY-BASED_MedianIntensity(IBSI:Y12H)[HU],-0.20458811413341274,0.05307934222360578,0.05,False,1.0,bonferroni
INTENSITY-BASED_MinimumIntensity(IBSI:1GSF)[HU],-0.5112140139107023,2.6224395904938606e-07,0.05,True,2.7011127782086764e-05,bonferroni
INTENSITY-BASED_10thIntensityPercentile(IBSI:QG58)[HU],-0.2952499134263281,0.004726536902213418,0.05,False,0.486833300927982,bonferroni
